,Loss
0,0.21740818
1,0.21680652
2,0.2109621
3,0.22290866
4,0.21295083
5,0.20053975
6,0.19329782
7,0.19960682
8,0.20989873
9,0.20638458
10,0.21598396
11,0.2030805
12,0.21166901
13,0.22091995
14,0.20288327
15,0.20053999
16,0.18293732
17,0.20690395
18,0.20811968
19,0.19370542
20,0.20353971
21,0.18445732
22,0.19296299
23,0.20280631
24,0.20030142
25,0.20253232
26,0.19772023
27,0.19456
28,0.20063424
29,0.19402327
30,0.19996895
31,0.19542596
32,0.20218801
33,0.20027642
34,0.20904571
35,0.19922952
36,0.20606953
37,0.19930473
38,0.19769666
39,0.20021488
40,0.20897362
41,0.19994788
42,0.19114389
43,0.19994895
44,0.20156005
45,0.20028874
46,0.19960989
47,0.19007778
48,0.19087021
49,0.20777278
50,0.20203316
51,0.19427952
52,0.19196889
53,0.19894715
54,0.19567914
55,0.20532253
56,0.20521858
57,0.19494538
58,0.21060446
59,0.20774625
60,0.20075406
61,0.2022507
62,0.2032038
63,0.2073477
64,0.2157332
65,0.20222928
66,0.2008777
67,0.20216198
68,0.20801692
69,0.20271991
70,0.1980817
71,0.20517382
72,0.1995955
73,0.19695361
74,0.19636986
75,0.1967492
76,0.21398662
77,0.198079
78,0.20976174
79,0.19359143
80,0.19611457
81,0.20153548
82,0.19896156
83,0.19147664
84,0.19884303
85,0.20593901
86,0.1952047
87,0.20504233
88,0.19173732
89,0.20461139
90,0.19054
91,0.20132585
92,0.20215778
93,0.19870494
94,0.19718044
95,0.21433364
96,0.19899376
97,0.18442352
98,0.18703699
99,0.1998345
